igralec,polozaj
199191,RB
199206,CB
199206,RB
199231,RB
199231,RW
199236,LB
199236,LM
199244,CB
199247,CAM
199247,CDM
199254,CAM
199254,CF
199266,CAM
199266,CF
199266,LM
199274,ST
199282,CDM
199282,CM
199288,CB
199288,CDM
199288,CM
199304,LB
199304,RB
199313,LB
199313,RB
199313,RWB
199339,GK
199353,CDM
199353,CM
199354,ST
199383,CB
199386,LW
199386,ST
199387,RM
199387,ST
199392,LB
199392,RB
199393,CB
199412,LM
199412,ST
199416,LW
199416,RW
199417,GK
199419,LM
199419,RM
199422,CB
199422,CDM
199422,CM
199434,CAM
199434,CF
199434,LW
199439,CAM
199439,ST
199451,ST
199482,GK
199493,GK
199503,CDM
199503,CM
199504,CB
199504,CDM
199556,CDM
199556,CM
199559,ST
199561,LM
199561,LW
199562,CDM
199562,CM
199564,CM
199564,RB
199570,RB
199572,RW
199575,GK
199576,CDM
199576,CM
199577,CB
199580,CB
199602,ST
199626,CDM
199626,CM
199633,RB
199641,GK
199652,CM
199667,CB
199669,CB
199715,LM
199729,LM
199729,LW
199729,RM
199737,LM
199737,RM
199737,ST
199745,CB
199763,RB
199767,CM
199776,CB
199779,CB
199781,RB
199792,CAM
199792,CM
199800,LB
199813,CB
199823,CM
199823,LM
199823,RM
199827,CDM
199827,CM
199829,CB
199829,CDM
199829,CM
199833,GK
199845,CB
199852,ST
199897,CDM
199897,CM
199904,GK
199909,GK
199912,CAM
